LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,AvgAlphaPrevious1,AvgBetaPrevious1,AvgGammaPrevious1,AvgAlphaPrevious2,AvgBetaPrevious2,AvgGammaPrevious2,AvgAlphaPrevious3,AvgBetaPrevious3,AvgGammaPrevious3,AvgAlphaPrevious4,AvgBetaPrevious4,AvgGammaPrevious4,AvgAlphaPrevious5,AvgBetaPrevious5,AvgGammaPrevious5,EyeM
449.4608273,0.254547409,540.7228007,0.247769954,408.8562127,-0.012873663,489.9936924,1.014043038,577.3636466,1.088286871,1334.844324,1.298957143,692.8643801,630.6334321,1383.821023,399.7538182,325.7760431,1142.85441,359.7050612,243.3603114,896.485698,365.245767,273.0375628,833.0256348,332.4427747,232.3589954,872.2117488,1
361.5797236,1.227115091,419.0731082,-0.455256,354.7679928,-0.613249876,361.5987549,0.329137753,200.3616526,-1.166316736,1120.712172,-0.283993465,495.091814,449.4249525,956.103985,692.8643801,630.6334321,1383.821023,399.7538182,325.7760431,1142.85441,359.7050612,243.3603114,896.485698,365.245767,273.0375628,833.0256348,1
408.9746243,0.753414513,431.6759672,-0.044562352,391.5378875,1.321409598,392.8607756,-0.830928876,344.9907584,-1.585027475,1244.791633,-0.92873925,390.3264159,358.1833739,660.5369123,495.091814,449.4249525,956.103985,692.8643801,630.6334321,1383.821023,399.7538182,325.7760431,1142.85441,359.7050612,243.3603114,896.485698,1
382.431247,-0.275728541,469.2860243,0.766445567,376.7081243,0.647920996,415.3559151,0.210395598,407.4507444,-1.181101119,1358.874706,-1.587400701,420.3252958,392.1993315,794.8911959,390.3264159,358.1833739,660.5369123,495.091814,449.4249525,956.103985,692.8643801,630.6334321,1383.821023,399.7538182,325.7760431,1142.85441,1
399.9063015,-1.111611752,601.2249104,1.243939316,445.9903719,-1.199813819,398.0229975,0.480865105,335.3892106,-1.521856052,1402.80186,-1.320495888,425.8586356,396.0320197,883.1627252,420.3252958,392.1993315,794.8911959,390.3264159,358.1833739,660.5369123,495.091814,449.4249525,956.103985,692.8643801,630.6334321,1383.821023,1
375.5713149,0.970465613,508.0914852,-0.182496793,431.9519898,-0.622614563,400.8549391,-0.110074207,319.9977496,-0.597783275,1401.692133,-0.994073451,500.5656059,422.0066847,869.0955352,425.8586356,396.0320197,883.1627252,420.3252958,392.1993315,794.8911959,390.3264159,358.1833739,660.5369123,495.091814,449.4249525,956.103985,1
408.0138003,0.007168245,411.0205903,-1.590566396,378.3606179,0.026159777,435.8957718,-0.858524107,305.1665853,-0.466955639,1429.147466,-0.581866041,441.8314001,416.4034644,860.8449411,500.5656059,422.0066847,869.0955352,425.8586356,396.0320197,883.1627252,420.3252958,392.1993315,794.8911959,390.3264159,358.1833739,660.5369123,1
457.3212404,-0.956762729,438.8660448,-0.906741816,398.9006981,-0.5415211,355.0005438,0.815720331,294.1446959,-0.996994419,1435.929307,-0.97083168,409.5171953,407.1281949,867.1570255,441.8314001,416.4034644,860.8449411,500.5656059,422.0066847,869.0955352,425.8586356,396.0320197,883.1627252,420.3252958,392.1993315,794.8911959,1
437.093699,1.261793926,426.6889261,-0.243781868,391.2521735,-1.192605786,373.708915,-0.814046074,287.3661315,-1.487366583,1443.396852,-0.898670902,448.0936426,376.9506209,865.0370015,409.5171953,407.1281949,867.1570255,441.8314001,416.4034644,860.8449411,500.5656059,422.0066847,869.0955352,425.8586356,396.0320197,883.1627252,1
399.2195022,0.353936233,437.8223119,0.197781156,288.3418946,1.117982263,431.1305605,-1.498934592,653.5935079,-1.852562296,1795.606435,-1.782659721,431.8913125,382.4805443,865.381492,448.0936426,376.9506209,865.0370015,409.5171953,407.1281949,867.1570255,441.8314001,416.4034644,860.8449411,500.5656059,422.0066847,869.0955352,1
