LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,AvgAlphaPrevious1,AvgBetaPrevious1,AvgGammaPrevious1,AvgAlphaPrevious2,AvgBetaPrevious2,AvgGammaPrevious2,AvgAlphaPrevious3,AvgBetaPrevious3,AvgGammaPrevious3,AvgAlphaPrevious4,AvgBetaPrevious4,AvgGammaPrevious4,AvgAlphaPrevious5,AvgBetaPrevious5,AvgGammaPrevious5,EyeM
209.0160264,1.085459442,241.0726022,1.95136526,143.71265,2.421517687,130.9407619,0.890909653,81.48733308,0.510261879,186.8423007,0.570010915,412.6670112,202.6957058,159.5466007,347.451565,149.5401499,149.3525498,251.9376226,124.6426541,124.8767262,257.7088377,122.2580481,119.2851281,248.7980113,128.0961681,125.0701658,0
162.2346554,-0.324407708,202.9480678,0.384292425,110.5063103,0.651159737,113.7599182,0.659106669,57.55059792,0.586004353,185.4584583,1.056387232,225.0443143,137.3267059,134.1648169,412.6670112,202.6957058,159.5466007,347.451565,149.5401499,149.3525498,251.9376226,124.6426541,124.8767262,257.7088377,122.2580481,119.2851281,0
157.1569195,-1.409570125,215.7426123,1.002003938,112.9352683,0.574015807,115.8435416,0.190563772,73.49321039,1.04231341,183.1496109,1.179277481,182.5913616,112.1331143,121.5045281,225.0443143,137.3267059,134.1648169,412.6670112,202.6957058,159.5466007,347.451565,149.5401499,149.3525498,251.9376226,124.6426541,124.8767262,0
167.7068556,-2.034964118,177.8040627,1.562177571,119.2815666,-0.250270244,116.1520915,0.276752236,81.01211595,0.764018799,178.9845737,1.090866704,186.4497659,114.3894049,128.3214107,182.5913616,112.1331143,121.5045281,225.0443143,137.3267059,134.1648169,412.6670112,202.6957058,159.5466007,347.451565,149.5401499,149.3525498,0
171.6211597,0.198672303,157.8471824,0.668953645,125.7777174,1.213755424,117.8228547,0.253365783,82.89670111,1.117454155,114.2738111,0.848432874,172.7554591,117.716829,129.9983448,186.4497659,114.3894049,128.3214107,182.5913616,112.1331143,121.5045281,225.0443143,137.3267059,134.1648169,412.6670112,202.6957058,159.5466007,0
100.2006429,0.953559754,129.6208721,0.373250722,153.698406,0.175398175,85.60063894,0.729063985,85.50815857,1.556382522,114.2292129,1.054793728,164.7341711,121.800286,98.5852561,172.7554591,117.716829,129.9983448,186.4497659,114.3894049,128.3214107,182.5913616,112.1331143,121.5045281,225.0443143,137.3267059,134.1648169,0
144.0859051,0.314960702,173.9479822,-1.108138824,142.6016561,0.805997514,70.68123883,0.094647645,87.04142509,0.892419475,155.4351369,1.115285948,114.9107575,119.6495225,99.86868574,164.7341711,121.800286,98.5852561,172.7554591,117.716829,129.9983448,186.4497659,114.3894049,128.3214107,182.5913616,112.1331143,121.5045281,0
220.334057,2.211785104,122.0099258,-0.941074248,143.2968914,0.210175197,79.14238012,-0.555256348,62.07294862,-0.271996382,147.0532504,0.125459475,159.0169437,106.6414475,121.238281,114.9107575,119.6495225,99.86868574,164.7341711,121.800286,98.5852561,172.7554591,117.716829,129.9983448,186.4497659,114.3894049,128.3214107,0
185.6415139,1.361663832,134.7453075,-0.33605571,143.3142112,1.03632827,87.16785935,-0.886653773,65.36000536,-0.805482526,170.7983738,-0.889596874,171.1719914,111.2196358,104.5630995,159.0169437,106.6414475,121.238281,114.9107575,119.6495225,99.86868574,164.7341711,121.800286,98.5852561,172.7554591,117.716829,129.9983448,0
209.6866977,0.452102047,118.8583366,0.563779398,156.2757706,0.169939077,85.89690424,-0.881079736,62.58224465,-0.990420789,167.0950326,-0.741896806,160.1934107,115.2410353,118.0791896,171.1719914,111.2196358,104.5630995,159.0169437,106.6414475,121.238281,114.9107575,119.6495225,99.86868574,164.7341711,121.800286,98.5852561,0
