LowGamma,LowGammePhase,HighGamma,HighGammaPhase,focus
956.6723759,-1.08853495,3183.345406,-0.476395363,1
1104.026596,-2.060334099,2678.614806,-0.438500785,1
653.8905926,0.586810079,2159.027734,0.160176134,1
654.0021958,0.299995416,2159.119049,0.159609528,1
690.4069559,0.070918931,2174.20652,0.172321766,1
1306.304448,0.999320012,3553.36341,1.140960031,1
1154.616247,0.943185255,3592.81637,0.910172719,1
980.6554538,0.811614185,3409.494823,1.047319908,1
913.0836458,0.1422419,3638.732078,0.507950385,1
854.9563452,0.8254151,3550.097355,0.750003869,1
870.3605974,0.03789077,3442.372672,0.398519623,1
878.6261366,-0.254049442,3457.419474,-0.243597765,1
852.0797021,0.820343422,3313.723156,0.790103286,1
951.2870751,0.451018413,3106.617889,0.443378285,1
788.7769642,-0.449450163,2321.3124,-0.768991049,1
710.4467683,-0.156926762,2262.617353,-0.109091738,1
710.1045531,0.127495897,2262.465847,-0.109376495,1
981.4347253,-1.2267853,2402.975981,-0.675006621,1
1364.076698,-1.367025422,3490.8744,-1.222427364,1
1290.723974,-1.8355242,3729.831126,-1.349001817,1
1140.979657,-1.538598954,3588.094928,-0.90814807,1
990.6943899,-0.204270635,3664.521825,-0.20475492,1
970.6897333,-1.201147415,3595.28033,-0.840999699,1
818.8905488,-0.009289432,3458.946799,-0.11865821,1
985.9063197,0.166960348,3495.178101,-0.161702305,1
829.5750991,-0.890567287,3319.112793,-0.9161249,1
746.0080473,-0.510253678,2973.664906,-0.868654351,1
708.7224162,0.89559895,2121.778666,1.089941359,1
599.781964,0.409625592,2039.782259,0.343592457,1
599.4284894,0.124173495,2039.7285,0.013088117,1
1708.132044,1.271826513,2992.53937,1.026993573,1
1405.283102,0.916337007,3412.215877,0.974087398,1
1292.172572,0.915885368,3557.258312,0.339528684,1
1111.670141,1.057248382,3540.232189,0.736980017,1
995.7309446,0.88070081,3621.911506,0.829254875,1
866.8746294,0.592436201,3406.430175,0.247937954,1
859.235386,-0.187831653,3430.433797,-0.064697766,1
935.7053518,1.650614174,3408.380641,1.124254998,1
801.3997979,0.952277438,3218.753313,0.951246682,1
702.9138828,0.748750053,2846.297541,0.6974466,1
704.8045385,1.179492774,2238.702855,-0.471270459,1
704.8045385,0.893893441,2238.702855,0.190117468,1
704.4340976,0.608484113,2238.717252,0.190196974,1
1833.619051,-2.270357691,3499.515403,-1.407857393,1
1467.722087,-1.680924234,3546.606119,-1.044657835,1
1414.830541,-0.980992909,3712.390531,-1.502852498,1
1213.816804,-0.955309551,3719.250865,-1.234585538,1
1057.686542,-0.532858354,3756.351476,-0.742605126,1
941.5334312,0.13607155,3510.226563,-0.144508439,1
916.2154372,-0.095218792,3542.858261,-0.1277095,1
949.4862199,-1.179487669,3455.996174,-0.958671701,1
936.8367171,-1.364254897,3253.723046,-0.901794501,1
793.2848635,-0.617497535,2796.993073,-0.562919817,1
617.0401988,-1.262935808,2109.988707,-0.341846135,1
617.424999,-0.405754857,2110.091104,-0.011155139,1
617.5686075,-0.691826426,2110.230207,-0.342062189,1
1428.854039,0.531868952,3454.136374,0.942139386,1
1221.659058,0.37307981,3514.818604,0.726079983,1
1219.694924,0.70327398,3614.215333,1.144066311,1
926.1748269,1.114369092,3637.198822,1.57213859,1
928.2699649,0.299656549,3658.237198,0.655324561,1
900.7372476,0.224440844,3449.991007,0.095956934,1
894.0629057,-0.220935139,3461.866615,-0.325898729,1
1034.017214,1.081376001,3477.24571,0.856947565,1
994.7322465,0.373581083,3234.097925,0.633890093,1
1037.659668,1.146250021,2774.197384,0.671127719,1
661.2348539,1.129428532,2135.663526,0.673504056,1
660.9687611,-0.299261798,2135.802622,-0.318758458,1
661.0457251,-0.014007964,2135.842221,-0.318940856,1
1240.086366,-1.634743632,3427.764575,-1.264109365,1
1326.165057,-1.421740885,3608.215165,-1.296225361,1
1120.416705,-1.626529604,3437.911601,-1.182431905,1
1063.35107,-1.767521824,3776.676735,-1.735992898,1
847.7757218,-1.213447672,3621.074993,-0.894741666,1
790.8533137,-1.304603227,3425.115518,-0.448918907,1
798.7279912,-0.043310946,3449.494151,0.106469962,1
878.1588125,-1.044145394,3386.210861,-0.640060098,1
906.054642,-1.395708868,3198.798922,-1.00055224,1
1000.533646,-1.720612211,2713.808558,-0.654997824,1
669.7031443,-0.946379798,2155.618993,-0.572355184,1
669.7031443,-0.660780466,2155.618993,-0.24166122,1
669.9530381,-0.375289926,2155.678319,-0.572430666,1
1187.374059,0.648234134,3407.539635,1.029825649,1
1277.190622,0.942157661,3540.204232,0.71863824,1
1087.554452,0.531342543,3431.729349,0.636648214,1
1094.326337,1.021423089,3755.241085,1.195245952,1
966.5671836,0.467007433,3677.945338,0.719096409,1
865.695533,0.383975065,3454.196439,-0.14417051,1
812.4744087,0.572847911,3459.205996,0.101188336,1
809.3143313,0.757670721,3327.444012,0.706558915,1
848.240657,0.99800028,3149.190653,0.762766968,1
1022.808929,1.123903637,2655.267548,0.449893505,1
566.706289,0.601618458,2077.461938,0.000247427,1
566.7849291,0.316885534,2077.62498,0.331372606,1
566.7792761,0.602558977,2077.768394,0.331563654,1
1235.488582,-1.752888038,3414.862208,-1.332035538,1
1353.201438,-1.514433312,3615.661782,-1.32070442,1
1174.215229,-1.891175358,3525.502203,-1.357827683,1
1055.085526,-0.912003857,3734.374515,-1.234660872,1
963.706693,-0.895963932,3699.345645,-0.731583935,1
867.9524489,-1.509008619,3463.083908,-0.584097857,1
807.9809992,-0.09362079,3491.860725,0.035082446,1
952.0921352,-1.454070178,3441.607523,-1.156017772,1
1006.215927,-1.427102074,3237.509825,-0.946186618,1
1134.49227,-1.93432148,2724.388822,-0.905529074,1
575.6026388,-0.862457779,2061.375227,-0.452676031,1
575.6026388,-0.005659782,2061.375227,-0.121982068,1
575.5104805,0.279651646,2061.419725,-0.12208801,1
1365.389065,0.743989585,3416.589217,0.799604706,1
1383.146639,1.221728193,3550.375755,0.971482151,1
1278.777102,1.021384664,3609.342467,1.009511135,1
1163.963246,1.492947081,3833.51986,1.511512831,1
971.7552836,0.402511739,3726.190221,0.727764216,1
887.7489667,0.632214514,3478.77774,0.089869792,1
838.8944348,0.270639099,3488.64205,0.335421967,1
943.0354811,0.927240651,3448.410013,0.594406546,1
994.1423968,1.395770962,3237.109276,0.744329397,1
1081.377646,1.853957042,2755.452123,0.966675206,1
628.5176734,1.766695571,2094.24767,-0.167091824,1
628.5176734,-0.232499754,2094.24767,-0.497785788,1
628.5343746,0.053155711,2094.258503,-0.166916652,1
1645.134104,-1.817450804,3402.701671,-1.478689962,1
1366.321972,-1.1596248,3507.545023,-1.165748199,1
1240.176336,-0.63324138,3561.499479,-0.958824108,1
1047.885181,-1.06248523,3651.18597,-1.299832854,1
1035.318792,-0.850861948,3700.490158,-0.963475489,1
827.937782,-0.61122076,3439.650943,-0.543472948,1
774.6611493,-0.375645763,3427.141148,-0.290969715,1
900.7734082,-1.024700162,3419.803806,-1.219949276,1
860.1954886,-0.228694143,3198.096265,-0.554815606,1
794.7721742,-0.484154014,2715.809667,-0.763943583,1
638.8207733,-0.247932774,2172.220436,0.397382288,1
638.7999717,0.038116122,2172.800103,0.067019582,1
638.5487068,-0.24775274,2172.946417,-0.263804044,1
1887.264919,1.168669798,3258.153519,0.947122822,1
1452.789496,1.14432353,3534.33141,1.073551119,1
1343.03541,1.214016966,3695.132218,0.489358383,1
1272.692015,0.639238774,3718.051215,0.441453123,1
1072.085145,0.506380952,3756.771296,0.581312801,1
995.5640001,0.402762997,3590.716111,0.153324653,1
868.1379674,0.071293351,3543.087755,0.065834747,1
975.2558528,0.64617408,3512.623885,0.872390096,1
873.908925,1.067053054,3273.976708,0.965109506,1
740.7233602,0.156588079,2824.695116,0.317467084,1
870.921404,-2.162294318,2208.45504,-1.896671822,1
743.0547578,-0.321694982,2147.35788,0.05209529,1
742.892474,-0.608221478,2147.367131,-0.27864589,1
1578.885586,-1.568766487,2732.022337,-0.897692413,1
1561.425174,-1.967788329,3517.589014,-1.644735538,1
1333.483399,-0.769005476,3625.765738,-0.849892925,1
1264.623535,-1.436339451,3631.791124,-0.942525665,1
1013.853284,-0.738777205,3661.807572,-0.38878546,1
999.4896148,0.011723501,3530.424685,-0.280301412,1
936.0899976,-0.870843254,3484.925105,-0.356233849,1
945.4550964,-1.488425518,3464.765115,-1.212858022,1
896.0186558,-0.88844072,3275.301617,-1.009648612,1
817.3618758,-0.407010575,2937.907611,-0.544389329,1
780.2760082,1.442842683,2185.527699,1.466868178,1
751.6818879,-0.096117523,2180.428254,-0.372277244,1
751.6576027,-0.382401864,2180.44144,-0.372530625,1
931.5306136,0.693294765,2279.471505,0.485805368,1
1299.542346,1.240290331,3494.460621,1.015231482,1
1258.306328,1.407909383,3668.696321,0.87226668,1
1108.618835,1.170873213,3500.039736,0.982312538,1
933.4817028,0.883912434,3644.561728,0.86719688,1
924.4298162,0.37551429,3557.910354,0.130944994,1
861.4111259,-0.44415527,3475.403651,0.005332174,1
813.5860572,-0.972194652,3409.935697,-0.144712183,1
780.6679267,0.912346829,3283.602216,0.885623958,1
703.8109371,0.720951604,2944.739858,0.928336229,1
660.1765198,-1.518755834,2159.914751,-1.563361299,1
693.1218961,0.062978572,2159.275333,0.131808853,1
693.1218961,-0.793819425,2159.275333,-0.529579074,1
696.495863,-0.500258196,2160.090202,-0.526565637,1
1088.015855,-1.466230489,3436.909748,-1.261118221,1
1056.784302,-0.950516237,3634.55699,-1.181689436,1
901.7686851,-0.032660576,3383.046006,-0.773658225,1
959.3885718,-1.007711674,3751.033406,-1.164106226,1
983.015431,-0.361697752,3680.495701,-0.304420709,1
982.9175037,-0.592687756,3565.862996,-0.697490119,1
943.8927416,0.820791928,3552.509255,0.041793399,1
967.063922,-1.395975594,3371.998677,-1.151299693,1
907.6503556,-1.055973252,3049.160677,-0.765400257,1
651.1238392,1.405541711,2030.360717,1.939701811,1
502.5758566,-0.650005063,1819.822399,-0.597789379,1
502.1764745,0.778214866,1819.804911,0.394857154,1
502.3238755,0.493750427,1819.651332,0.395655662,1
1230.855463,1.307447356,3366.754945,1.374388153,1
1252.661088,1.197962573,3524.374271,0.819637027,1
1032.984223,0.937186517,3341.245806,1.110536272,1
995.9807541,1.050648915,3649.544872,1.152164352,1
903.3173919,0.467995735,3565.719193,0.671331427,1
918.8411475,0.380697462,3425.890576,-0.222432174,1
850.4041304,0.73983194,3425.901256,0.460861152,1
1012.445505,0.711896703,3450.688592,0.635222802,1
988.0142703,0.763382872,3154.898413,0.512239187,1
1135.339571,1.002273244,2533.58719,0.287433635,1
523.7606057,1.507704458,2081.309566,-0.334917278,1
523.7606057,0.650906461,2081.309566,-0.004223315,1
523.8905846,0.365159317,2081.401044,-0.004028297,1
1658.696189,-2.373371917,3401.913188,-1.47647518,1
1317.353163,-2.07407065,3478.518163,-1.400792266,1
1258.226618,-1.113424594,3567.885305,-1.310474374,1
955.464542,-0.554898721,3624.297961,-1.042734757,1
927.7087894,-1.071206294,3634.782101,-1.10277195,1
855.0818147,-0.268462834,3436.151556,-0.071038663,1
791.2871558,-0.145625469,3454.033747,-0.166898544,1
906.5592304,-1.128146964,3429.61106,-0.958317325,1
839.4383483,-0.942424172,3184.750606,-0.676037783,1
705.5232785,-0.049525177,2710.667563,-0.560666661,1
782.1813088,1.062216114,2221.476497,1.23887441,1
728.6423743,0.380145708,2186.307648,0.028525004,1
728.6544988,0.094606027,2186.475912,0.028592659,1
1477.186727,1.565989667,2681.853898,1.207555288,1
1317.555997,1.114412507,3388.647244,0.765924041,1
1196.401526,0.708787981,3600.94828,0.32087236,1
1184.39686,1.096361129,3576.897233,0.839002596,1
1106.264024,0.965063269,3772.444679,0.861162596,1
1055.378071,0.943516124,3621.712251,0.594248063,1
906.1606072,-0.388443799,3514.387442,-0.087441408,1
900.2415736,1.496435765,3470.06726,1.174554929,1
821.7438796,0.844350957,3257.678387,0.637599092,1
774.3981402,0.573179747,2917.427538,0.676639296,1
772.5161292,-2.0911448,2164.365361,-1.89914045,1
663.1794842,-0.471253862,2171.951169,-0.18195255,1
663.2215997,0.385902315,2172.186988,0.148649553,1
664.7052443,0.123382957,2175.505,-0.151920139,1
1157.620943,-1.693701846,3478.162305,-1.149110251,1
1062.39,-1.794530895,3578.808808,-1.411680994,1
964.7691999,-1.309830017,3395.737864,-0.871477467,1
946.0812875,-1.368314387,3678.640841,-0.827325208,1
889.3128358,-0.837779895,3607.062627,-0.31430321,1
812.5731622,0.03301912,3496.321219,-0.330273632,1
847.3958141,0.296619744,3492.054275,-0.297593538,1
829.14938,-1.0624572,3322.689497,-1.065129124,1
759.4585006,-0.927378553,2967.02448,-0.831098377,1
570.2637607,2.376427878,2001.794014,2.082154445,1
563.5556141,0.678406331,2084.623829,0.268606609,1
563.4591084,-0.178739677,2084.855528,-0.06190099,1
564.3412042,0.676350575,2084.525315,0.268634061,1
