LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,AvgAlpha ,AvgBeta,AvgGamma,AvgAlphaPrevious1,AvgBetaPrevious1,AvgGammaPrevious1,AvgAlphaPrevious2,AvgBetaPrevious2,AvgGammaPrevious2,AvgAlphaPrevious3,AvgBetaPrevious3,AvgGammaPrevious3,AvgAlphaPrevious4,AvgBetaPrevious4,AvgGammaPrevious4,AvgAlphaPrevious5,AvgBetaPrevious5,AvgGammaPrevious5,eyesC
796.73783,-0.849703381,754.6512069,-1.488905444,839.4154028,-1.264494533,504.9051779,-0.622020521,401.0130579,0.27276291,468.0774383,0.197429908,775.6945185,672.1602903,434.5452481,781.4947322,507.85482,357.78052,954.7329684,498.7207802,353.7229774,959.7595242,560.4413111,371.4845492,627.5781717,319.9520546,357.9580997,512.1396024,338.476952,345.6563519,1
674.67169,-0.786169961,757.743349,-1.477945387,521.3779313,-1.095391638,531.2445022,-0.53030532,473.2962651,0.704128831,527.4925644,0.995919763,716.2075195,526.3112168,500.3944147,775.6945185,672.1602903,434.5452481,781.4947322,507.85482,357.78052,954.7329684,498.7207802,353.7229774,959.7595242,560.4413111,371.4845492,627.5781717,319.9520546,357.9580997,1
735.9426205,-0.161049991,623.0539699,-1.340869962,440.5442801,-0.71748447,499.2203915,0.0321079,561.3706786,0.351991502,931.4650645,0.948761066,679.4982952,469.8823358,746.4178715,716.2075195,526.3112168,500.3944147,775.6945185,672.1602903,434.5452481,781.4947322,507.85482,357.78052,954.7329684,498.7207802,353.7229774,959.7595242,560.4413111,371.4845492,1
909.1067763,-0.820709072,790.0207481,-1.368683803,689.820951,-0.909115131,562.3957043,-0.335050791,535.0719029,0.192929749,1019.083756,0.79432511,849.5637622,626.1083277,777.0778292,679.4982952,469.8823358,746.4178715,716.2075195,526.3112168,500.3944147,775.6945185,672.1602903,434.5452481,781.4947322,507.85482,357.78052,954.7329684,498.7207802,353.7229774,1
228.7290654,0.209191131,559.5092951,-1.446883113,311.6416941,-0.915081766,456.7226258,0.122451288,409.7984293,-0.721221791,977.2332531,-0.08074783,394.1191802,384.18216,693.5158412,849.5637622,626.1083277,777.0778292,679.4982952,469.8823358,746.4178715,716.2075195,526.3112168,500.3944147,775.6945185,672.1602903,434.5452481,781.4947322,507.85482,357.78052,1
270.7325972,0.90753066,489.304251,-0.852841235,422.3919305,1.13325109,386.1421099,0.6021014,405.732658,0.873455985,837.6326787,0.328217945,380.0184241,404.2670202,621.6826684,394.1191802,384.18216,693.5158412,849.5637622,626.1083277,777.0778292,679.4982952,469.8823358,746.4178715,716.2075195,526.3112168,500.3944147,775.6945185,672.1602903,434.5452481,1
407.9958077,-1.552352319,482.6295129,-0.310395186,336.5710643,0.992743492,368.2613364,0.605860822,429.7783821,-0.506813077,850.275735,-0.215942073,445.3126603,352.4162003,640.0270586,380.0184241,404.2670202,621.6826684,394.1191802,384.18216,693.5158412,849.5637622,626.1083277,777.0778292,679.4982952,469.8823358,746.4178715,716.2075195,526.3112168,500.3944147,1
260.8335817,-2.406672753,491.7307185,0.204602327,372.4022919,-1.289336235,405.475034,0.913848627,467.4227439,-0.989376044,911.4823472,-0.849149449,376.2821501,388.938663,689.4525455,445.3126603,352.4162003,640.0270586,380.0184241,404.2670202,621.6826684,394.1191802,384.18216,693.5158412,849.5637622,626.1083277,777.0778292,679.4982952,469.8823358,746.4178715,1
285.9248311,-2.714362107,507.980927,-1.236541429,439.6725616,-1.907971614,398.3507137,0.087070099,516.3953921,-0.451878405,948.7622445,-0.903557548,396.952879,419.0116377,732.5788183,376.2821501,388.938663,689.4525455,445.3126603,352.4162003,640.0270586,380.0184241,404.2670202,621.6826684,394.1191802,384.18216,693.5158412,849.5637622,626.1083277,777.0778292,1
453.7909245,2.152277504,603.528892,-1.030122934,334.8718462,1.478587447,438.6875894,-0.07921593,449.2745127,-0.662343801,967.408697,-0.857514745,528.6599082,386.7797178,708.3416048,396.952879,419.0116377,732.5788183,376.2821501,388.938663,689.4525455,445.3126603,352.4162003,640.0270586,380.0184241,404.2670202,621.6826684,394.1191802,384.18216,693.5158412,1
362.1209642,1.103519096,548.4577883,-0.263409306,303.7449434,-0.346453985,431.7631388,0.251965709,382.8417319,-0.414260083,938.2955187,-0.688751834,455.2893762,367.7540411,660.5686253,528.6599082,386.7797178,708.3416048,396.952879,419.0116377,732.5788183,376.2821501,388.938663,689.4525455,445.3126603,352.4162003,640.0270586,380.0184241,404.2670202,621.6826684,1
370.3664289,0.128924233,579.4624966,-1.291229586,274.7713825,-0.016607931,490.0566198,-0.832689467,326.919305,0.451438608,1033.628124,-0.241436945,474.9144627,382.4140011,680.2737146,455.2893762,367.7540411,660.5686253,528.6599082,386.7797178,708.3416048,396.952879,419.0116377,732.5788183,376.2821501,388.938663,689.4525455,445.3126603,352.4162003,640.0270586,1
739.3874872,-1.505968859,801.8846162,-2.175312596,357.4878766,-0.794851407,547.8661948,-0.458001041,519.6593135,-1.080701266,1129.390431,-1.710092573,770.6360517,452.6770357,824.5248723,474.9144627,382.4140011,680.2737146,455.2893762,367.7540411,660.5686253,528.6599082,386.7797178,708.3416048,396.952879,419.0116377,732.5788183,376.2821501,388.938663,689.4525455,1
628.0906565,-1.693563558,732.1425131,-1.802363144,246.5603757,-1.137596797,559.0056518,-0.681787557,423.6453522,-0.520094064,903.3787348,-1.459372904,680.1165848,402.7830138,663.5120435,770.6360517,452.6770357,824.5248723,474.9144627,382.4140011,680.2737146,455.2893762,367.7540411,660.5686253,528.6599082,386.7797178,708.3416048,396.952879,419.0116377,732.5788183,1
463.4619142,0.484028673,492.8508897,1.382009056,424.6421059,-0.255344068,540.873724,-0.778016425,351.3505847,-0.547665046,753.7302073,-1.383192683,478.156402,482.7579149,552.540396,680.1165848,402.7830138,663.5120435,770.6360517,452.6770357,824.5248723,474.9144627,382.4140011,680.2737146,455.2893762,367.7540411,660.5686253,528.6599082,386.7797178,708.3416048,1
