LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,eyes
340.6358947,1.423401932,705.7840682,-1.225591996,349.312186,-0.476912132,224.5728352,0.168143904,278.5450266,-0.982681382,295.3811419,-0.574377699,0
308.6028005,0.943555177,694.6296449,-0.516780777,348.0298268,0.045107049,229.8159058,0.838153173,249.0938649,0.601542784,281.215675,0.429164546,0
155.1836318,-0.456005066,696.6716159,0.118841417,360.6448963,0.510452766,205.3557424,0.993343916,252.9119482,0.41923401,289.8609319,-0.216165899,0
178.4869041,0.208142912,688.1830366,0.702093258,342.1804036,0.269871256,230.4572939,-0.269680437,301.5160646,0.869319878,338.104161,0.774322843,0
600.2912105,2.824807796,627.162749,-0.715628944,363.6572986,1.005968105,250.5995087,0.147367417,381.8551848,0.787901181,381.1900419,0.566943253,0
684.1738648,2.254354487,585.9731879,-0.093774181,376.8286952,-1.047315076,316.925567,-1.210329843,393.9229715,0.524780221,399.4395473,0.649926438,0
553.5409278,1.215829382,519.3480525,0.349267362,517.3873942,-1.217255832,314.048803,-0.428124774,378.113327,-0.208068195,378.016372,-0.16831225,0
568.4392967,0.321870333,465.1921715,-1.286694982,343.5357538,0.520580309,298.6345568,0.051139919,363.1583576,-0.792137507,352.9642205,-0.346950986,0
606.2328309,-0.593105337,477.0842582,-0.782457015,213.5767057,-0.225800682,315.9601408,-0.621875832,338.3591483,1.27156324,341.5329006,0.934895507,0
705.9439577,1.762841709,508.5064705,-0.103810547,169.9350837,0.570013352,322.5550259,-0.075231634,299.6816759,0.356225943,309.7306378,0.356742264,0
877.289385,0.574851728,411.0821302,0.373978156,237.4504602,0.968414227,346.4129567,0.982978638,301.9924662,-0.035358525,316.634196,-0.058033978,0
1044.053499,-0.684878696,448.7930222,-0.931125053,336.7811146,-0.803166332,345.8071163,0.099353398,338.3379811,-0.456180942,354.1840501,-0.469807073,0
823.3433282,-1.563580806,429.8045502,-0.363491313,315.8825903,-0.261789456,334.8719419,-0.643346734,297.8737295,-0.413407069,320.0855364,-0.334663788,0
685.3188364,0.707110254,454.5397081,2.120299283,312.4877036,0.325676912,313.1219361,-0.451232099,314.061884,-1.179701933,330.9438309,-1.001911579,0
603.7895664,-0.224610865,322.0169738,0.78303128,367.1473185,-0.318220433,286.7028566,0.377436248,252.7911286,-0.873741727,268.4400828,-0.616523672,0
